song_id,ground_truth,kmeans,agglo,dbscan
spotidownloader.com - California - Chappell Roan,unknown,76,26,23
2WORLDS -- Madge x VALORANT - Official Audio (64 kbps),unknown,25,42,-1
spotifydown.com - Bloodsucker,unknown,36,102,-1
wires - the neighbourhood,unknown,25,12,24
SpotiDownloader.com - Sonne - Rammstein,unknown,72,5,25
spotifydown.com - us. (feat. Taylor Swift),unknown,87,7,-1
SpotiDownloader.com - Hold My Hand - Jess Glynne,unknown,83,10,165
K_FLAY_High_Enough,K,84,101,26
SpotiDownloader.com - Like A Villain - Bad Omens,unknown,47,34,27
League of Legends - REMIX RUMBLE,unknown,83,5,25
Six_Don_t_Lose_Ur_Head,Six,82,82,-1
2WEI_Toxic,2WEI,97,19,-1
Jann - Gladiator,unknown,36,102,-1
spotifydown.com - Enemy with JID (Opening Title Version),unknown,32,40,-1
spotifydown.com - Dog Days Are Over,unknown,2,21,-1
SpotiMate.io - Alejandro - Lady Gaga,unknown,5,68,173
spotifydown.com - CORALINE - Måneskin,unknown,69,4,28
Grant Knoche - ICARUS,unknown,83,10,0
NOT_THE_MAIN_CHARACTERS_murder_party,NOT,96,37,29
Tommy Genesis - a woman is a god,unknown,23,36,-1
SpotiDownloader.com - 1950 - King Princess,unknown,80,39,30
Lana Del Rey – Season of the Witch,unknown,76,26,-1
Banners - Someone To You,unknown,9,14,14
Harry Styles - Kiwi,unknown,28,5,20
Halflives - Villain,unknown,83,40,0
Cigarettes After Sex - Cry,unknown,98,6,-1
NF - Let You Down,unknown,57,64,108
Stela_Cole_Kiss_or_Kill,Stela,100,38,31
Lana Del Rey – Season of the Witch,unknown,56,48,-1
SpotiMate.io - Chemtrails Over The Country Club - Lana Del Rey,unknown,0,26,-1
Josh Levi - ALL OVER AGAIN,unknown,65,45,-1
spotifydown.com - In This Shirt,unknown,80,39,30
Bo_Burnham_1985_White_Guy,Bo,16,70,-1
"Frawley - If I Don-'t Laugh, I-'ll Cry",unknown,2,21,-1
[SPOTDOWNLOADER.COM] Monster,unknown,10,70,17
spotifydown.com - Bloodsucker,unknown,89,95,-1
spotifydown.com - Too Sweet,unknown,92,57,94
Ellise - 911,unknown,103,51,-1
spotifydown.com - HONEY (ARE U COMING_),spotifydown.com - HONEY (ARE U COMING,68,27,13
SpotiDownloader.com - Breathe - Olly Alexander (Years & Years),unknown,65,2,-1
Sabrina Carpenter - Feather,unknown,53,14,14
Panic Room - Au-Ra,unknown,76,26,23
spotifydown.com - HEARTBEAT,unknown,70,57,32
Transviolet_Destroy_Destroy_Destroy,Transviolet,70,57,207
Labrinth - Jealous,unknown,49,31,-1
SpotiDownloader.com - No One Noticed - The Marías,unknown,63,44,-1
League of Legends - Piercing Light,unknown,0,61,-1
spotifydown.com - Wildflower and Barley,unknown,101,1,-1
Veronica Swift - In the Moonlight,unknown,53,62,14
SpotiMate.io - Heavenly - Cigarettes After Sex,unknown,24,6,-1
girl in red - Rue,unknown,97,64,-1
SpotiDownloader.com - Control - Halsey,unknown,78,53,-1
SpotiDownloader.com - One More Hour - Tame Impala,unknown,4,20,33
2WEI_Toxic,2WEI,77,95,34
[SPOTDOWNLOADER.COM] Pink Pony Club,unknown,46,9,35
Ólafur Arnalds - The Journey,unknown,8,55,-1
[SPOTDOWNLOADER.COM] My Kink Is Karma,unknown,65,2,-1
"spotifydown.com - 100,000 People",unknown,12,56,-1
SpotiDownloader.com - The First Time - Damiano David,unknown,4,54,-1
SpotiDownloader.com - The Subway - Chappell Roan,unknown,16,69,-1
SpotiMate.io - Dernière danse - Indila,unknown,88,35,36
The Bidding - Tally Hall,unknown,10,97,-1
Labrinth - Jealous,unknown,49,31,-1
K_FLAY_High_Enough,K,59,88,120
Clean Bandit x Elley Duhé – Don’t Leave Me Lonely,unknown,39,23,-1
Melanie Martinez - EVIL,unknown,53,23,-1
SpotiDownloader.com - TYRANT - Beyoncé,unknown,5,10,0
SpotiMate.io - Vienna - Billy Joel,unknown,61,41,-1
SpotiDownloader.com - Love Me Not - Ravyn Lenae,unknown,25,42,37
Lauren Spencer Smith - Best Friend Breakup,unknown,15,99,38
Neoni - DARKSIDE,unknown,25,12,24
Radiohead - Everything In Its Right Place,unknown,39,62,-1
SpotiDownloader.com - Apocalypse - Cigarettes After Sex,unknown,98,6,-1
[SPOTDOWNLOADER.COM] Monster,unknown,72,5,20
SpotiMate.io - Heavenly - Cigarettes After Sex,unknown,64,56,-1
spotifydown.com - Cold Cold Cold - Cage The Elephant,unknown,1,95,-1
Sarah Jeffery - Queen of Mean,unknown,46,57,15
Unlike Pluto - Worst in Me,unknown,90,2,-1
Laura Karpman - Ms. Marvel Suite,unknown,16,70,-1
SpotiMate.io - Stay - Rihanna,unknown,85,19,-1
spotifydown.com - Murder On The Dancefloor,unknown,93,15,-1
David Kushner - Dead Man,unknown,97,3,-1
SpotiDownloader.com - Black Friday - Tom Odell,unknown,17,64,-1
JENNIE - You & Me,unknown,69,4,-1
spotifydown.com - II MOST WANTED,unknown,25,42,39
Nelly Furtado - Maneater,unknown,70,40,32
KiNG_MALA_cult_leader,KiNG,39,23,-1
spotifydown.com - Fade Into You,unknown,7,103,-1
spotifydown.com - So What,unknown,72,5,20
The Killers - Mr. Brightside,unknown,47,34,27
YUNGBLUD - breakdown.,unknown,5,68,0
Missio_Twisted,Missio,31,10,22
[SPOTDOWNLOADER.COM] Tear in My Heart,unknown,93,15,-1
Mia_Rodriguez_Psycho,Mia,38,9,40
Lady Gaga - Disease,unknown,47,8,-1
SpotiDownloader.com - No One Noticed - The Marías,unknown,15,99,-1
[SPOTDOWNLOADER.COM] Big Dawgs,unknown,5,68,0
08. Dynasties and Dystopia (from the series Arcane League of Legends),unknown,90,2,-1
SpotiDownloader.com - Black Friday - Tom Odell,unknown,17,64,-1
GIVĒON - Heartbreak Anniversary,unknown,60,70,-1
spotifydown.com - Baby Blue Movie,unknown,98,6,-1
[SPOTDOWNLOADER.COM] Heavydirtysoul,unknown,38,9,41
Ellise_Wicked_Witch_of_the_Westside,Ellise,32,50,73
SpotiDownloader.com - we never dated - sombr,unknown,4,20,-1
SpotiDownloader.com - Breathe - Olly Alexander (Years & Years),unknown,37,80,-1
Tears of Gold,unknown,39,23,201
SpotiMate.io - Only Girl _In The World_ - Rihanna,SpotiMate.io - Only Girl ,65,2,-1
spotifydown.com - I Was Made For Lovin’ You (from The Fall Guy) [Orchestral Version],unknown,23,36,-1
Doja_Cat_Tia_Tamera_feat_Rico_Nasty_,Doja,39,23,42
SpotiDownloader.com - we never dated - sombr,unknown,92,50,43
SpotiDownloader.com - Nothing's Gonna Hurt You Baby - Cigarettes After Sex,unknown,44,81,44
spotifydown.com - I Can't Hear It Now (from the series Arcane League of Legends),unknown,15,99,-1
Massacre - Kim Petras,unknown,53,62,14
Chloe_Adams_Dirty_Thoughts,Chloe,33,62,-1
Billie Eilish - idontwannabeyouanymore,unknown,15,60,-1
SpotiDownloader.com - Bad At Love - Halsey,unknown,38,8,-1
spotifydown.com - PUSH 2 START - Tyla,unknown,103,51,-1
SpotiDownloader.com - The Subway - Chappell Roan,unknown,11,11,-1
J_Maya_Golden_Age,J,5,38,214
02. Our Love (from the series Arcane League of Legends),unknown,4,8,152
spotifydown.com - Off To The Races - Lana Del Rey,unknown,94,17,-1
spotifydown.com - Icarus,unknown,7,103,-1
spotifydown.com - I Was Made For Lovin’ You (from The Fall Guy) [Orchestral Version],unknown,76,26,-1
NF - Let You Down,unknown,92,50,43
SpotiMate.io - Music To Watch Boys To - Lana Del Rey,unknown,97,3,45
Lolo_Hit_and_Run,Lolo,43,18,-1
Dove Cameron - We Go Down Together,unknown,49,56,-1
[SPOTDOWNLOADER.COM] Pink Pony Club,unknown,27,48,-1
[SPOTDOWNLOADER.COM] Heart Attack - Rock Version,unknown,68,27,13
Lewis Capaldi - Before You Go,unknown,5,68,0
NF - Let You Down,unknown,9,101,-1
SpotiMate.io - Green Light - Lorde,unknown,22,47,-1
spotifydown.com - Whatever,unknown,72,5,20
COBRAH - GOOD PUSS,unknown,23,36,-1
Cloudy June - FU In My Head,unknown,65,2,-1
Jvke - catch me,unknown,1,50,-1
SpotiDownloader.com - All The Things She Said - t.A.T.u.,unknown,70,57,0
League of Legends - Piercing Light,unknown,1,50,73
spotifydown.com - I Feel Like I'm Drowning - Two Feet,unknown,85,12,46
[SPOTDOWNLOADER.COM] APT.,unknown,5,38,-1
Stephen Dawes - Teenage Dream,unknown,61,41,-1
[SPOTDOWNLOADER.COM] Tear in My Heart,unknown,37,80,-1
SpotiDownloader.com - Bad At Love - Halsey,unknown,53,62,14
spotifydown.com - Nothing's New,unknown,18,24,-1
League_of_Legends_The_Call,League,24,19,-1
Cloudy_June_Pretty_Pills_for_Broken_Hearts,Cloudy,100,18,-1
Bon Jovi - You Give Love A Bad Name,unknown,68,27,47
[SPOTDOWNLOADER.COM] Lotus Eater,unknown,1,12,-1
Porter Robinson - Everything Goes On,unknown,5,38,48
spotifydown.com - obsessed,unknown,72,5,20
Elsie_Bay_Death_Of_Us,Elsie,92,12,49
SpotiMate.io - Music To Watch Boys To - Lana Del Rey,unknown,95,78,-1
SpotiDownloader.com - Just Keep Watching (From F1® The Movie) - Tate McRae,unknown,0,72,-1
SpotiDownloader.com - 12 to 12 - sombr,unknown,26,20,50
[SPOTDOWNLOADER.COM] Dream On,unknown,78,30,-1
Egzod - Royalty,unknown,32,8,51
SpotiMate.io - Music To Watch Boys To - Lana Del Rey,unknown,95,78,-1
SpotiDownloader.com - MAMMAMIA - Måneskin,unknown,53,40,0
I Will Carry You - Tommee Profitt & Stephen Stanley,unknown,46,57,52
SpotiDownloader.com - Rock That Body - Black Eyed Peas,unknown,31,74,211
Angels - Vicetone (Edit),unknown,16,69,18
SpotiDownloader.com - Castle - Halsey,unknown,70,40,0
spotifydown.com - Murder On The Dancefloor,unknown,5,38,48
SpotiDownloader.com - Kiss Me - Sixpence None The Richer,unknown,2,21,-1
NF - The Search,unknown,56,70,-1
K-DA - DRUM GO DUM,unknown,83,10,0
Bishop Briggs - River,unknown,38,42,16
Connor Price - Violet,unknown,79,37,53
spotifydown.com - Murder On The Dancefloor,unknown,31,10,54
SpotiDownloader.com - Castle - Halsey,unknown,32,29,-1
spotifydown.com - Miserable Man,unknown,59,100,-1
dhruv - double take,unknown,56,30,55
Mitski - My Love Mine All Mine,unknown,49,31,-1
spotifydown.com - Baby Blue Movie,unknown,73,6,56
Keane - Somewhere Only We Know,unknown,47,34,27
spotifydown.com - Iris - The Goo Goo Dolls,unknown,33,68,-1
Jeremy Zucker - this is how you fall in love,unknown,15,60,-1
K-DA - THE BADDEST,unknown,70,40,0
James Arthur - Car's Outside,unknown,85,12,57
spotifydown.com - Car Radio - Twenty One Pilots,unknown,65,45,-1
spotifydown.com - Jackie And Wilson,unknown,83,10,0
SpotiDownloader.com - Alter Ego (with JT) - Doechii,unknown,31,2,22
SpotiDownloader.com - Anxiety - Doechii,unknown,44,81,58
SpotiMate.io - Treat You Better - Shawn Mendes,unknown,90,2,22
Charlotte_Lawrence_Joke_s_On_You,Charlotte,102,8,59
SpotiDownloader.com - Elastic Heart - Sia,unknown,47,34,27
Jessie Murph - Pray,unknown,13,58,-1
SpotiDownloader.com - Nothing's Gonna Hurt You Baby - Cigarettes After Sex,unknown,44,81,-1
Madalen Duke - How Villains Are Made,unknown,14,22,-1
Egzod - No Rival,unknown,83,10,0
[SPOTDOWNLOADER.COM] Move,unknown,37,80,60
SpotiDownloader.com - Starboy - The Weeknd,unknown,23,36,-1
SpotiMate.io - Kiss With A Fist - Florence _ The Machine,SpotiMate.io - Kiss With A Fist - Florence ,16,30,-1
spotifydown.com - 24,unknown,93,15,-1
[SPOTDOWNLOADER.COM] Bring Me To Life,unknown,25,42,12
Lorde - Team,unknown,5,38,193
SpotiMate.io - A Little Death - The Neighbourhood,unknown,36,102,61
SpotiDownloader.com - Breakin' Dishes - Rihanna,unknown,53,62,14
Tamer - Beautiful Crime,unknown,77,76,-1
grandson - Rain (with Jessie Reyez),unknown,39,62,4
SpotifyMate.com - The Emptiness Machine - Linkin Park,unknown,77,54,-1
SpotiDownloader.com - The Only Exception - Paramore,unknown,16,92,-1
SpotiDownloader.com - party 4 u - Charli xcx,unknown,52,4,-1
spotifydown.com - Cry,unknown,64,56,-1
CL -  HELLO BITCHES,unknown,28,5,-1
[SPOTDOWNLOADER.COM] Blood __ Water,[SPOTDOWNLOADER.COM] Blood ,28,5,-1
[SPOTDOWNLOADER.COM] Diet Pepsi,unknown,96,37,29
SpotiDownloader.com - Heavy - The Marías,unknown,63,61,-1
SpotiDownloader.com - Supercut - Lorde,unknown,30,96,62
Cute_Whore_Cult_Leader,Cute,27,67,-1
My Chemical Romance - Teenagers,unknown,72,5,25
I Monster - Who Is She,unknown,4,54,-1
Natalie_Jane_Mentally_Cheating,Natalie,93,15,-1
spotifydown.com - New Woman (feat. ROSALÍA),unknown,79,28,63
SpotiMate.io - Chemtrails Over The Country Club - Lana Del Rey,unknown,97,3,-1
spotifydown.com - Sucker (from the series Arcane League of Legends),unknown,72,5,20
SpotiDownloader.com - Elastic Heart - Sia,unknown,38,9,41
SpotiDownloader.com - MAMMAMIA - Måneskin,unknown,83,10,0
[SPOTDOWNLOADER.COM] Lotus Eater,unknown,1,12,-1
[SPOTDOWNLOADER.COM] Lotus Eater,unknown,97,3,-1
[SPOTDOWNLOADER.COM] Electric Love,unknown,80,39,-1
SpotiMate.io - Send My Love _To Your New Lover_ - Adele,SpotiMate.io - Send My Love ,65,45,64
SpotiDownloader.com - Confident - Demi Lovato,unknown,51,8,-1
SpotiDownloader.com - Supercut - Lorde,unknown,54,73,-1
Chymes_Black_Hole_Friend,Chymes,7,37,65
Stela_Cole_I_Shot_Cupid,Stela,43,18,-1
SpotiDownloader.com - Closer to the moon - Anya Nami,unknown,18,32,-1
Agnes_Obel_Run_Cried_The_Crawling,Agnes,63,61,-1
spotifydown.com - obsessed,unknown,53,40,0
NATURE,unknown,25,42,12
spotifydown.com - Mystery of Love,unknown,81,91,-1
Skillet - The Resistance,unknown,28,5,66
Radiohead - No Surprises,unknown,46,57,-1
Stela_Cole_Kiss_or_Kill,Stela,100,38,31
01 Puppet,unknown,46,57,-1
NF - Let You Down,unknown,85,12,46
SpotiDownloader.com - The Subway - Chappell Roan,unknown,46,38,67
01 Legends Never Die,unknown,9,62,14
"The Offspring - You're Gonna Go Far, Kid",unknown,68,34,27
MØØNWATER_Darkside,MØØNWATER,13,58,-1
spotifydown.com - Hellfire (from the series Arcane League of Legends),unknown,72,29,0
One True God x The Tech Thieves - Keep You (64 kbps),unknown,97,3,-1
wires - the neighbourhood,unknown,10,97,68
spotifydown.com - HONEY (ARE U COMING_),spotifydown.com - HONEY (ARE U COMING,68,34,27
[SPOTDOWNLOADER.COM] My Kink Is Karma,unknown,96,80,-1
Michael Bublé - Feeling Good,unknown,41,71,-1
MØØNWATER_Darkside,MØØNWATER,10,83,69
K-DA - POP-STARS,unknown,83,10,0
Labrinth - Jealous,unknown,85,12,70
Six_Don_t_Lose_Ur_Head,Six,5,38,48
Labrinth - Jealous,unknown,12,65,-1
SpotiMate.io - Cinnamon Girl - Lana Del Rey,unknown,8,55,-1
Eason Chan - 这样很好 (Isha's Song) (from the series Arcane League of Legends),unknown,46,57,-1
Ayla D'Lyla - Money,unknown,93,15,-1
League of Legends - Worlds Collide,unknown,92,50,-1
Benson Boone - Beautiful Things,unknown,5,68,0
SpotiDownloader.com - No One Noticed - The Marías,unknown,63,44,-1
spotifydown.com - I.Crawl - Childish Gambino,unknown,2,21,-1
Bastille - Bad Blood,unknown,56,59,-1
spotifydown.com - Iris,unknown,96,80,71
Chloe_Adams_Dead_To_Me,Chloe,96,80,-1
Connor Price - Violet,unknown,93,15,-1
spotifydown.com - Guess featuring Billie Eilish,unknown,5,68,0
UPSAHL - Wish You'd Make Me Cry,unknown,83,29,-1
SpotiMate.io - Stay - Rihanna,unknown,94,17,-1
SpotiDownloader.com - Cake - Melanie Martinez,unknown,102,8,72
[SPOTDOWNLOADER.COM] Heavydirtysoul,unknown,38,9,41
spotifydown.com - Cherry Tree,unknown,81,59,-1
SpotiDownloader.com - undressed - sombr,unknown,32,50,73
SpotiMate.io - I Bet on Losing Dogs - Mitski,unknown,3,52,-1
League of Legends - Fire To The Fuse,unknown,33,2,8
SpotiDownloader.com - party 4 u - Charli xcx,unknown,98,6,-1
Chicago - Cell Block Tango,unknown,22,15,74
spotifydown.com - Sucker (from the series Arcane League of Legends),unknown,38,18,75
Stela_Cole_Kiss_or_Kill,Stela,13,89,-1
Connor Price - Violet,unknown,79,37,53
spotifydown.com - as good a reason,unknown,85,19,-1
[SPOTDOWNLOADER.COM] Heavydirtysoul,unknown,38,9,76
SpotiDownloader.com - Pity Party - Melanie Martinez,unknown,53,85,14
spotifydown.com - Please Please Please,unknown,39,23,-1
KiNG_MALA_cult_leader,KiNG,37,45,-1
Mother_Mother_Burning_Pile,Mother,4,54,-1
SpotiMate.io - Send My Love _To Your New Lover_ - Adele,SpotiMate.io - Send My Love ,96,80,-1
My Chemical Romance - Teenagers,unknown,68,27,103
spotifydown.com - Someone New,unknown,66,16,-1
SpotiDownloader.com - There Is a Light That Never Goes Out - 2011 Remaster - The Smiths,unknown,102,8,59
Nelly Furtado - Maneater,unknown,53,40,0
SpotiDownloader.com - Mess It Up - Gracie Abrams,unknown,92,50,-1
[SPOTDOWNLOADER.COM] Kaleidoscope,unknown,48,79,-1
spotifydown.com - Taste,unknown,70,40,0
Natalie Jane - Seven,unknown,23,36,-1
NF - The Search,unknown,10,70,77
Cloudy June - FU In My Head,unknown,55,75,-1
spotifydown.com - Enemy with JID (Opening Title Version),unknown,46,57,0
2WORLDS -- Madge x VALORANT - Official Audio (64 kbps),unknown,25,42,12
SpotiDownloader.com - Apocalypse - Cigarettes After Sex,unknown,84,86,78
SpotiMate.io - Lush Life - Zara Larsson,unknown,83,40,0
spotifydown.com - Enemy with JID (Opening Title Version),unknown,46,57,0
[SPOTDOWNLOADER.COM] Angel,unknown,24,19,-1
Neoni - OUTLAW,unknown,60,92,-1
[SPOTDOWNLOADER.COM] Monster,unknown,72,5,20
SpotiDownloader.com - Die On This Hill - SIENNA SPIRO,unknown,35,87,-1
Tate Mcrae-1035,unknown,53,85,14
SpotiMate.io - The Water Is Fine - Chloe Ament,unknown,16,69,-1
[SPOTDOWNLOADER.COM] Bring Me To Life,unknown,5,68,0
ALL NIGHT  TYRANT - HANGMAN VERSION,unknown,38,42,-1
spotifydown.com - Desire,unknown,9,62,-1
Lewis Capaldi - Hold Me While You Wait,unknown,9,14,-1
SpotiDownloader.com - No One Noticed - The Marías,unknown,73,6,56
SpotiMate.io - Something About You - Eyedress,unknown,39,62,-1
Sub Urban - Freak feat. REI AMI,unknown,43,35,-1
SpotiMate.io - Level of Concern - Twenty One Pilots,unknown,77,76,-1
Chicago - Cell Block Tango,unknown,60,92,79
04 Running Up That Hill (A Deal with,unknown,24,19,80
[SPOTDOWNLOADER.COM] For Cryin' Out Loud!,unknown,92,50,-1
SpotiDownloader.com - Nobody Gets Me - SZA,unknown,61,41,-1
Natalie_Jane_Mentally_Cheating,Natalie,3,52,-1
Sir_Chloe_Michelle,Sir,76,26,-1
SpotiMate.io - Send My Love _To Your New Lover_ - Adele,SpotiMate.io - Send My Love ,96,80,-1
Bon Jovi - You Give Love A Bad Name,unknown,68,27,47
SpotiDownloader.com - Pity Party - Melanie Martinez,unknown,53,85,14
My Chemical Romance - Teenagers,unknown,72,5,-1
[SPOTDOWNLOADER.COM] Touch,unknown,86,98,-1
VALORANT - VISIONS,unknown,56,48,81
The Whole Being Dead Thing,unknown,11,11,-1
CL -  HELLO BITCHES,unknown,28,5,66
spotifydown.com - Desire,unknown,46,57,52
SpotiDownloader.com - Pain - PinkPantheress,unknown,79,28,-1
Original_Broadway_Cast_of_Mean_Girls_World_Burn,Original,10,70,-1
SpotiMate.io - Only Girl _In The World_ - Rihanna,SpotiMate.io - Only Girl ,39,62,4
spotifydown.com - Left Hand Free,unknown,35,87,-1
spotifydown.com - if u think i'm pretty,unknown,4,8,-1
SpotiDownloader.com - One More Hour - Tame Impala,unknown,4,20,33
Peter Gabriel - Heroes,unknown,11,25,-1
Cute_Whore_Cult_Leader,Cute,25,83,-1
SpotiMate.io - All I Wanted - Paramore,unknown,29,25,-1
Au-Ra - Dance in the Dark,unknown,65,45,-1
SpotiDownloader.com - Sunsetz - Cigarettes After Sex,unknown,30,44,-1
Sheryl Lee Ralph - Blood Sweat & Tears (from the series Arcane League of Legends),unknown,70,40,32
spotifydown.com - Hero,unknown,44,81,-1
[SPOTDOWNLOADER.COM] One More Light,unknown,73,6,82
M.I.A. - Bad Girls,unknown,83,10,0
Ellise_Nightmares,Ellise,55,75,-1
Halflives - Villain,unknown,70,40,0
SpotiDownloader.com - Nobody Gets Me - SZA,unknown,85,12,-1
Nessa Barrett - die first,unknown,37,23,-1
spotifydown.com - Two Men in Love,unknown,102,8,51
Faouzia - Hero (1),unknown,31,10,0
League of Legends - The Curse of the Sad Mummy,unknown,81,59,-1
[SPOTDOWNLOADER.COM] Courtesy Call,unknown,88,74,-1
spotifydown.com - Renegade (We Never Run) (from the series Arcane League of Legends),unknown,46,57,83
SpotifyMate.com - The Emptiness Machine - Linkin Park,unknown,72,34,20
Bishop Briggs - River,unknown,38,42,16
spotifydown.com - In My Room,unknown,66,0,-1
spotifydown.com - Bleeding Out,unknown,56,48,-1
Bon Jovi - It's My Life,unknown,72,34,20
Lewis Capaldi - Before You Go,unknown,32,29,2
VALORANT - Die For You,unknown,65,45,-1
spotifydown.com - la di die (feat. Jaden Hossler),unknown,72,5,20
[SPOTDOWNLOADER.COM] Heaven,unknown,95,78,-1
d4vd - Romantic Homicide,unknown,80,39,-1
Chicago - Cell Block Tango,unknown,93,15,-1
SpotiDownloader.com - Cake - Melanie Martinez,unknown,102,8,72
dhruv - double take,unknown,56,30,55
04 Running Up That Hill (A Deal with,unknown,24,19,80
spotifydown.com - Please Please Please,unknown,39,23,-1
[SPOTDOWNLOADER.COM] CRAZY,unknown,31,2,84
WHY DONT WE - HOW DO YOU LOVE SOMEBODY,unknown,5,68,0
[SPOTDOWNLOADER.COM] Come Play (from the series Arcane League of Legends),unknown,70,40,0
Lana Del Rey - Lolita,unknown,36,102,-1
Achilles Heel - J. Maya,unknown,44,81,-1
spotifydown.com - HEARTBEAT,unknown,76,14,161
01 Puppet,unknown,60,92,10
Sarah Jeffery - Queen of Mean,unknown,65,2,85
SpotiDownloader.com - Too Much - Dove Cameron,unknown,53,85,14
SpotiMate.io - The Other Woman - Lana Del Rey,unknown,8,55,-1
League_of_Legends_Worlds_Collide,League,57,97,-1
spotidownloader.com - DtMF - Bad Bunny,unknown,38,9,-1
spotifydown.com - Apple,unknown,9,62,14
[SPOTDOWNLOADER.COM] Dream On,unknown,11,25,-1
Megan Thee Stallion - HISS,unknown,90,2,-1
"spotifydown.com - No Light, No Light",unknown,25,42,86
Josh Levi - ALL OVER AGAIN,unknown,33,68,87
League of Legends - Burn It All Down,unknown,31,10,22
spotifydown.com - Miserable Man,unknown,59,100,-1
New West - Those Eyes (1),unknown,57,83,69
Lauren Spencer Smith - Best Friend Breakup,unknown,46,14,-1
[SPOTDOWNLOADER.COM] Dream On,unknown,95,78,-1
VALORANT - RENEGADE,unknown,44,81,-1
[SPOTDOWNLOADER.COM] Come Play (from the series Arcane League of Legends),unknown,32,29,88
